t,domain,mode,question,gold,pred,acc,abstain,halluc,consistency,seed
1,linear_regression,direct,What does linear regression model?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0,2025
2,linear_regression,direct,What is the goal of ordinary least squares?,minimize sum of squared residuals,minimize sum of squared residuals,1.0,0.0,0.0,1.0,2025
3,linear_regression,direct,Write the simple linear regression equation.,y = beta0 + beta1 x,y = beta0 + beta1 x,1.0,0.0,0.0,1.0000000000000002,2025
4,linear_regression,direct,What is a residual?,difference between observed and predicted value,difference between observed and predicted value,1.0,0.0,0.0,1.0000000000000002,2025
5,linear_regression,direct,What does a high R-squared indicate?,model explains large fraction of variance,model explains large fraction of variance,1.0,0.0,0.0,1.0000000000000002,2025
1,linear_regression,rag,What does linear regression model?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0,2025
2,linear_regression,rag,What is the goal of ordinary least squares?,minimize sum of squared residuals,minimize sum of squared residuals,1.0,0.0,0.0,1.0,2025
3,linear_regression,rag,Write the simple linear regression equation.,y = beta0 + beta1 x,y = beta0 + beta1 x,1.0,0.0,0.0,1.0000000000000002,2025
4,linear_regression,rag,What is a residual?,difference between observed and predicted value,difference between observed and predicted value,1.0,0.0,0.0,1.0000000000000002,2025
5,linear_regression,rag,What does a high R-squared indicate?,model explains large fraction of variance,model explains large fraction of variance,1.0,0.0,0.0,1.0000000000000002,2025
1,linear_regression,student_note,What does linear regression model?,relationship between dependent and independent variables,relationship between dependent and independent variables,1.0,0.0,0.0,1.0,2025
2,linear_regression,student_note,What is the goal of ordinary least squares?,minimize sum of squared residuals,minimize sum of squared residuals,1.0,0.0,0.0,1.0,2025
3,linear_regression,student_note,Write the simple linear regression equation.,y = beta0 + beta1 x,y = beta0 + beta1 x,1.0,0.0,0.0,1.0000000000000002,2025
4,linear_regression,student_note,What is a residual?,difference between observed and predicted value,difference between observed and predicted value,1.0,0.0,0.0,1.0000000000000002,2025
5,linear_regression,student_note,What does a high R-squared indicate?,model explains large fraction of variance,model explains large fraction of variance,1.0,0.0,0.0,1.0000000000000002,2025
