t,domain,mode,question,gold,pred,acc,abstain,halluc,consistency,seed
1,qa,direct,Context: Paris is the capital of France. Q: What is the capital of France?,paris,I don't know,0.0,1.0,0.0,0.0,2025
2,qa,direct,Context: Water freezes at 0°C. Q: At what temperature does water freeze?,0°C,I don't know,0.0,1.0,0.0,0.0,2025
3,qa,direct,Context: The Earth orbits the Sun. Q: What does the Earth orbit?,the sun,I don't know,0.0,1.0,0.0,0.0,2025
4,qa,direct,Context: The Nile is a river in Africa. Q: Where is the Nile?,africa,I don't know,0.0,1.0,0.0,0.0,2025
5,qa,direct,Context: Python is a programming language. Q: What is Python?,a programming language,I don't know,0.0,1.0,0.0,0.0,2025
1,qa,rag,Context: Paris is the capital of France. Q: What is the capital of France?,paris,paris,1.0,0.0,0.0,1.0,2025
2,qa,rag,Context: Water freezes at 0°C. Q: At what temperature does water freeze?,0°C,0°C,1.0,0.0,0.0,0.0,2025
3,qa,rag,Context: The Earth orbits the Sun. Q: What does the Earth orbit?,the sun,the sun,1.0,0.0,0.0,1.0,2025
4,qa,rag,Context: The Nile is a river in Africa. Q: Where is the Nile?,africa,africa,1.0,0.0,0.0,1.0,2025
5,qa,rag,Context: Python is a programming language. Q: What is Python?,a programming language,a programming language,1.0,0.0,0.0,1.0000000000000002,2025
1,qa,student_note,Context: Paris is the capital of France. Q: What is the capital of France?,paris,paris,1.0,0.0,0.0,1.0,2025
2,qa,student_note,Context: Water freezes at 0°C. Q: At what temperature does water freeze?,0°C,0°C,1.0,0.0,0.0,0.0,2025
3,qa,student_note,Context: The Earth orbits the Sun. Q: What does the Earth orbit?,the sun,the sun,1.0,0.0,0.0,1.0,2025
4,qa,student_note,Context: The Nile is a river in Africa. Q: Where is the Nile?,africa,africa,1.0,0.0,0.0,1.0,2025
5,qa,student_note,Context: Python is a programming language. Q: What is Python?,a programming language,a programming language,1.0,0.0,0.0,1.0000000000000002,2025
