t,domain,mode,question,gold,pred,acc,abstain,halluc,consistency,seed
1,sentiment,direct,"Sentiment of: 'I loved this movie, it was fantastic.'",positive,positive,1.0,0.0,0.0,1.0,2025
2,sentiment,direct,Sentiment of: 'This was awful and boring.',negative,negative,1.0,0.0,0.0,1.0,2025
3,sentiment,direct,"Sentiment of: 'Not bad, but not great either.'",neutral,neutral,1.0,0.0,0.0,1.0,2025
4,sentiment,direct,Sentiment of: 'Absolutely terrible experience.',negative,negative,1.0,0.0,0.0,1.0,2025
5,sentiment,direct,Sentiment of: 'I really enjoyed it.',positive,positive,1.0,0.0,0.0,1.0,2025
1,sentiment,rag,"Sentiment of: 'I loved this movie, it was fantastic.'",positive,positive,1.0,0.0,0.0,1.0,2025
2,sentiment,rag,Sentiment of: 'This was awful and boring.',negative,negative,1.0,0.0,0.0,1.0,2025
3,sentiment,rag,"Sentiment of: 'Not bad, but not great either.'",neutral,neutral,1.0,0.0,0.0,1.0,2025
4,sentiment,rag,Sentiment of: 'Absolutely terrible experience.',negative,negative,1.0,0.0,0.0,1.0,2025
5,sentiment,rag,Sentiment of: 'I really enjoyed it.',positive,positive,1.0,0.0,0.0,1.0,2025
1,sentiment,student_note,"Sentiment of: 'I loved this movie, it was fantastic.'",positive,positive,1.0,0.0,0.0,1.0,2025
2,sentiment,student_note,Sentiment of: 'This was awful and boring.',negative,negative,1.0,0.0,0.0,1.0,2025
3,sentiment,student_note,"Sentiment of: 'Not bad, but not great either.'",neutral,neutral,1.0,0.0,0.0,1.0,2025
4,sentiment,student_note,Sentiment of: 'Absolutely terrible experience.',negative,negative,1.0,0.0,0.0,1.0,2025
5,sentiment,student_note,Sentiment of: 'I really enjoyed it.',positive,positive,1.0,0.0,0.0,1.0,2025
